Metin,Durum
Gayet kullanışlı ve güzel,
Güzel ürün teşekkürler,
Çok beğendim uygun fiyat,
Teşekkürler hızlı ve güvenilir,
Harika bir makina Çok beğendim.,
Harika bir ürün, fiyatı da uygun . .,
şarj süresi iyi 3 taraklı kaliteli birşey,
Dükkanım için aldım gayet güzel,
tavsiye ederim güzel ürün,
alınır ben çok beğendim,
ürünün hem fiyati uygun hemde kaliteli,
Çok güzel makina gönül rahatlığıyla alabilirsiniz,
cok guzel boyle beklemiyordum,
çok hızlı geldi.teşekkürler.,
Fiyat performans ürünü,
Eşim çok beğendi memnun kaldı kesimi çok iyi,
esim icin almıştım cok begendi,
Uygun fiyat kaliteli ürün. Eşim için aldım beğendi,
Ürün coook iyi tesekkürler,
Babama aldım bayağa sevdi,
Hediye almıştım güzel bir ürün,
Hızlı teslimat ve kibar güzel makina,
Çok güzel beğendim,
Ürün gayet iyi. Şarjı iyi gidiyor. Güzel de kesiyor.,
Sakalları jilet ayarında kesmiyo birisi öyle demişti, ürün gayet güzel,
ürün fiyatını hak ediyor ben kuaförde çalışıyorum fiyatın hak ediyor,
ürün aynı ürün. baya iyi, yani görsel açıdan. daha kullanamadım ama teşekkür ederim??,
Tavsiye edilir is goren bir set,
iş görür bence daha esimin fikrini almadim,
güzel ürün teşekkürler.,
Beklediğim dende iyi çıktı hızlı gönderim,
Şarjın üzün süre dayanması çok iyi ????????????,
Ürün isteğim geldi teşekkürler.,
Çok beyendık kesımı sarj omru harıka,
eşime aldım çok memnun tavsiye edilir,
güzel bi ürün kaliteli ve kullanışlı,
mukkemmel kesim 0 ayarında kesiyor tavsiyemdir.,
Harıka bı ürün cok memnun kaldım,
Ürün sıfıra yakın alıyor fiyat performans ürünü,
ürün gayet güzel hızlı kargo teşekürler,
Asiri iyi fiyatina gore cok uygun,
hızlı kargo güvenilir firma,
gayet kullanisli bir ürün tavsiye ediyorum.,
Esim memnun kaldi,
Gayet başarılı,
ürün çok kaliteli,
cok guzel bir urun.,
Eşim ilk kullanımdan çok memnun kaldı.,
Babama hediye aldım henüz kullanmadı ama herkes bunu önerdi,
Saç için uygun degılmış iade ettim ama kargo ürün çok guzeldı.,
Bu üründen 4 tane aldım çok güzel,
kesimi hiç fena değil,
Herşey çok güzel ptt kargo dışında,
Eşim için aldım, memnun olduğunu belirtti ??,
Biraz küçük ama güçlü ve kullanışlı,
fiyatına göre bir ürün,
ürün güzel , kargo uzun sürdü.,
tam sıfır almasada güzel,
Ürün kaliteli paketleme güzel,
gayet kullanışlı beğendim,
sıfır almıyor ama iyi gibi,
?? bu fiyata gayet iyi,
Fiyat performansına göre gayet güzel çok memnunum,
fiyat performans ürünü.,
Harika bir ürün,
Güzel ürün,
Güzel bir ürün.,
Ürün gayet güzel,
Güzel ürün,
urun mukemmel,
güzel makine,
güzel muhtesem,
güze l bi ürün,
güzel beğendim,
çok beğendik biz,
Harika bir ürün,
Güzel ürün,
güzel ve kaliteli,
çok begendim,
Güzel bir ürün.,
Mükemmel kullanışlı,
Başarılı iyiiiiiiii,
Hızlı geldi efsaneee,
Mükemmel bir makina,
begendimmm,
Güzel ürün,
İyi ürün güzel,
Urun goruldugu gibi eksiksiz geldi. Begendik ????,
Beğendim fiyatına göre gayet iyi,
Memnun kaldık çok kullanışlı,
Güçlü ve oldukça şık ????,
Ürün güzel,
Güzel beğendik,
Fiyat performans,
f/p ürünü memnunum,
Tskler super urun,
gayet başarılı,
çok iyi sakal traşı,
fiyatına göre 5 yıldızı hak eden bir ürün,
Gayet iyi memnun kaldım,
Sakalları sıfır ayarına getirmiyor,
kullanışlı sakal traşı için ideal,
Gayet güzel kullanışlı,
sıkı sakalda sorun yaratıyor,
Mutlaka tavsiye ederim on numara 5 yıldız. :),
memnun kaldık güzeldi ürün,
Beğendik güzel,
ideal bi ürün,
Güzel ve kullanışlı,
Sakal için güzel,
Eşim beğendi,
Ürün gayet güzel,
Bu kadar berbat kargolama görmedim şimdiye kadar.. Paketleme berbat kutusu yırtık parçalanmış PTT kargo hayal kırıklığı oldu bende..,
sakın almayın berbat bir ürün. ense ve bıyık makinesi yazıyor üzerinde. saç ve sakal kesmiyor kopartoyor. ayrıca sakal tıraşı olmaya çalışırsan deriyi kesiyor. elektrikli ustura yapmışlar. normal ustura daha az keser.,
Fiyatına göre çok iyi bir ürün,
fiyat performans ürünü, gayet iyi,
makinanın dişleri mükemmel,
Güzel ürün... memnun kaldım,
Kolda çizik yapıyor,
güzel hoş bir ürün,
genç oğlumuza aldık..ilk kullanımda beğenildi..,
Kargo çok geç geldi,
idare eder,
Fiyat performans kaliteli,
kalitesini eşim beğenmedi performansı kötüydü,
Kargosu çok kötü yurtdışından geliyor galiba,
Daha iyi ürün olabilir di,
beğendim kaliteli,
Bohça için aldım kaliteli duruyor.,
1 krş etmez.,
Çok güzel kaliteli,
Ürün fiyatına göre performansı çok iyi keserken herhangi bir çekme falan yapmıyor gayet kullanışlı eşimin deyişiyle 10 numara,
ürünüm geldi daha öncesi kuaförüm den bildiğim üründü mükemmel tras kalitesi var gercekden bugün nasip oldu tıraş olmak çok güzel beğendim tavsiye ediyorum bu fiyata kaçmaz gercekden,
gayet güzel ilk traşda tahriş ettti sıfır ayarı çok yakındaymış youtubedan bakıp ayarlayabilirsiniz.ptt kargo çok geç getirdi,
çabuk ısınıyor fakat ense ve sakal düzeltmek için guzel bir ürün.sac icin çok uygun değil gibi.berber arkadaşımın önerisi üzerine almıştım,
Ürün gerçekten güzel eşime hediye olarak aldım tereddüt ederek ama performansı gayet güzel duruyor önerebilirim,
"Sorunsuz teslim aldım. Kargo süresi biraz uzun sürdü . Postacımız izindeymiş. Ama ürün güzel teşekkürler. İnceleme Videosu youtube kanalımda . ""İNCELE BUNU"" kanalından izleyebilirsiniz.",
güzel bir ürün tavsiye ederim fiyatı gayet uygun,
sakal için! makina gayet güzel. kesiyor. zaten beraber dükkanı işleten. bir arkadaşım tavsiye etti. merak edenler içinde söylüyorum. dişilik leri. hemen hemen sifra sifir. ben denedim. sahesen. kaliteli gözüküyor. bakalım. bizi ne kedar iadere edecek.,
ürün fiyat konusunda uygun fiyatına gorede başarılı bir ürün,
Bugüne kadar kullandıpım en iyi ürün üstelik 2güne elime ulaştı alıcak olanlar kesinlikle kaçırmasın,
ürün fiyatına göre mükemmel ve kısa sürede elime ulaştı teşekkürler,
Daha henüz kullanmadım ama ürün gayet güzel denene yaptım.Makina canavar.,
Başarılı,fiyatı da uygun. Gönül rahatlığı ile alabilirsiniz:),
Ürün çok kısa sürede elime ulaştı fotograf taki ürünle aynısı geldı tesekkürler,
güzel ama fazla kısaltmıyo kargo desen 1 haftada geldi,
Gayet güzel kullanışlı ama başlıkları 1 2 3 numaraya kadar Bilginiz olsun,
ürün bugün geldi gerçekten mükemmel bir ürün teşekkürler,
Ürün güzel ama baş kısmında ısınma yapıyor ve titremesi insanın elini yoruyor,
gayet güzel oldugu gibi,
Sakal için çok iyi bir ürün makinenin sesinden harika bir ürün olduğu anlaşılıyor zaten,
gayet iyi bir şekilde kesim yapıyor hem sac hem sakal tavsiye ederim,
görsel paylaşım aynı beklediğim kalitede teşekkürler.,
Ürn çok güzel kulanışlı,
Çok Güzel Ürün Herkese Tercih Ederim????,
çok güzel bir makine herkeze tavsiye ederim,
gayet güzel ve kullanışlı tavsiye ederim,
Kesimi güzel. Makine bir tık küçük geldi gözüme,
çok güzel bir ürün,
ürün güzel beklentimi karşıladı,
güzel urun,
Şu an en iyisi,
güzel kullanışlı,
Süper ürün bravo,
çok güzel ve kaliteli,
fena değil,
gayet güzel makina tavsiye ederim,
kaliteli ürün.,
damat bohçası icin aldm teşekküler trendyol,
beklediğim gibi harika,
10 numara teşekkürler,
Beklediğimden daha güzel,
Kesinlikle on numaraa ????????????????????????,
Memnunuz ????,
mükemmelll,
ürün beklendiği gib,
Gayet kaliteli bir ürün.,
Çok kaliteli,
Peformans ürünü diyebilirim,
Ürün güzel kullanışlı jiletten iyi şükür,
Eşine doğum günü hediyemiz beğenildi fiyatıda marifeyine göre uygun teşekkürler,
çok iyi alın gitsin,
Harika ürün tavsiye ederim????,
tam bir fiyat performans ürünü bence güzel sadece takılan uçlar çok ince,
Eşim için aldım çok beğendi zaten kuaför arkadaşı tavsiye etmişti bu markayı .,
tam bir fiyat performans ürünü bence güzel sadece takılan uçlar çok ince,
Eksık fırca vardı onun dısında ürün güzel,
gayet memnunuz kardeşim yeni yeni sakal traşı olmaya başlaı ona almıştım tahriş etmediğini söylüyor,
Beğendiğim bir ürün bu 2. siparişim satıcı kargo ve Trendyola teşekkür ederim,
Fiyat petformans gerçekten başarılı.covit zamanı kurtarıcı,
Ürün ikinci kullanımda kesmemeye başladı. Benim gibi gür ve sert sakalınız varsa bu ürün sizin için yanlış bir tercih olacaktır. Kullandığım traş makinelerinin içinde en kötüsü...,
Abime almıştım epey beğendi. Pahalı markalara gerek yok iş görüyor ve kullanışlı.,
çok iyi alın gitsin,
Eşine doğum günü hediyemiz beğenildi fiyatıda marifeyine göre uygun teşekkürler,
Harika ürün tavsiye ederim????,
Çok güzel bir ürün çok beğendim,
harika urun saç kesimi yapıyor sorunsuz,
Güzel paketlenişi hoş,
sakal için ideal bir ürün dür. Kullanıyorum çok memnunum almayı düşünenlere tavsiye ediyorum.,
pandemi dolayısıyla babam için yorumlara bakarak aldım babam cok beyendi sarsı uzun gidiyor kaliteli bir urun keske tarak sayısı fazla olsaydı fiyatı oldukça uygun herkeze tavsiye ediyorum,
Gayet kaliteli ve şarjı çok uzun gidiyor. Kesinlikle tavsiye ederim.,
urun görünüş itibari ile güzeldi ancak tarakları küçük numara olduğundan sac kesmeye uygun olmadığını düşündüğümden iade ettim,
kardeşime almıştım bir cok bilindik markadan cok cok iyi,
1-2-3 mm tarakları mevcut. 3mm en büyük tarağı 1 numaraya tekabül ediyor. Saç kesimi için çok uygun değil. Sakal kesimi ense ve favori için güzel, motoru çok güçlü tavsiye ediyorum.,
Gayet kompakt bi ürün .kesimi de gayet güzel ama sıfır kesmiyor kirli sakal gibi bırakıyor.,
ürün güzel hatta 4 yaşında ki oğlumu bile tras ettim tavsiye ederim,
ürün güzel sarjı dolu geldi 3 numaraya kadar var yani memnunum ama tarak az,
ürün biraz küçük ama iş görür. gayet de iyi kesiyor tüyleri.,
Fiyatına göre gerçekten çok iyi bir ürün şarjı çok uzun gidiyor fakat üç başlıklı olması biraz yetersiz gelebiliyor.,
fiyatına göre güzel profesyonel asla değil ama iş görür daha kötülerini kullandım bu evde kullanım için cok ideal boyutu küçük minik bisey,
Güzel ürün, yüksek numaralı tarak da olsa on numara olurdu.,
Çok keskin aman dikkat edin,
Ürünü berberlerden sorduk berberlerin kullandığı markaymış onların tavsiyesi üzerine aldık hem güzel hem ucuz yollu muadillerine göre hem fiyat hem performans ürünü ????,
Fiyat kalite ve kullanım dengesi çok iyi ev de kullanım için marka ürünlere fazla para vermeye gerek yok..,
FİYATINA GÖRE ÇOK SAĞLAM BİR MAKİNE, BAŞLIKLARI VAR AMA SAÇ KESİM İÇİN PEK UYGUN DEĞİL, FAKAT ENSE FAVORİ SAKAL BIYIK İÇİN İDEAL, SIFIRA ÇOK YAKIN KESİM YAPIYOR...,
gelir gelmez saç sakal traşımı oldum fiyatına göre gayet güzel ve kaliteli tavsiye ederim muhakkak.,
Çok büyük hayallerle almadık zaten. Bu süreçte bizi idare etsin dedik. Numaraları biraz daha iyi olsa makina çok güzel. Yani biraz daha uzun bırakacak bıçak olsa iyi olurmuş.,
Orta kalite ürün beni idare etsin diyorsanız çok büyük beklentiniz yoksa alın,
en büyük 3 numarası var o yüzden geri iade edecegim,
sifir kesim yapacaksaniz muhakkak alin,
Küçük olmasına rağmen çok başarılı.,
kesimi çok güzel. ama 3 numarası çok kısaltıyor,
kaliteli ama biraz küçük,
Evet çok güzel bi ürün denedik harika herkes alabilir fiyatıda gayet uygun daha pahalı olupta bu kadar iyi kalitede olmayan ürünler var tavsiye ederim ve ürün şarzı dolu geldi,
ürun güzel ve fiyatına göre iyi bir performanslı bir ürün kaliteli içinden herşeyi tam çıkıyor bakım yağından başlıklarına kadar eksiksiz,
Ürün muhteşem değil ama fiyatına yaptiklarina göre çok çok iyi çok güçlü tek eksiği başlık sayisi az ve 2 numarası bile kısa kesiyor. Ona göre hareket edin onun harici çok şık sağlam güclü,,
Bu fiyata efsane bi makina.Amaç üç numara saç ve kirli sakalsa sakın ola ki bi sürü para dökmeyin marka diye başka ürünlere.Alın keyfinize bakın ????,
Şuan fiyatı çok yüksek biz çok uyguna aldık ama güzel,
Sifira yakin kesiyor ve oldukca kaliteli bir urun henuz cok yeni ama memnunum ??,
çok güzel kesiyor on numara,
Ürün fiyatına göre performansı gerçekten iyi sakal traşım için tercih ettim içinden çıkan üç tarağının en incesi çok güzel kirli sakal bırakıyor. Karantine günlerinde saç kesimi bile yaptım.,
Ürün fiyatına göre inanılmaz bir makine. Şakın daha fazla para verip başkasını almayın. Hem saç hem sakal için çok iyi,
saç denemedim ama. sakal beklediğimden iyi çıktı. fiyat performans boşa markalara yüksek fiyat vermeyin. paketleme güzeldi teşekkürler,
Fiyatına göre üst kalite bir ürün. Yıllardır birçok çeşit makine kullandım. Özellikle Philips ve Braun makinelere verilecek paraya yazık bence. Tıraş işinden anlamayanların tercihi genellikle bu iki makine. Markasına aldanıp alıyorlar. Tavsiye ederim Powertec markasının bu ürününü.,
Harika bir ürün nişanlımın bohçasına koyucam kaliteli berber arkadaşımın önerisiyle aldım güzel uygun fiyat,
kesinlikle tavsiye ederim fiyat düşük kalitesi cok buyuk .düsunmeden alin . beni dinleyin kafanızı bulundurmayın,
Ürün elime ulaştı ürün fiyatına göre bayağı kaliteli ben sakallarımı çocuğumunda saçını rahat rahat kestik,
Tam fiyat performans ürünü. sakalım gür olmasına rağmen sıfıra yakın alıyor. Fakat ters tutup kesim yapıldığında ciddi tahriş yapabiliyor.,
Fiyatına göre güzel makine. Aldığım gibi şarja takmadan 3-4 kere kullandım şuanlık bir problem yok. olmayacak gibi görünüyor.,
Ürün fiyatına göre gayet başarılı, kimi yorumlarda taraklar kalitesiz, yamuk diyor ama bana gelenler iyiydi biraz daha uzun tarakda olsa süper olurdu. Sadece uzun sure kullanirsaniz titreşimi biraz fazla olduğundan elinizi rahatsız ediyor. Almayı düşünenlere tavsiye ederim.,
Ürünün fiyati çok uygun. kardeşime aldım çok beğendi.,
Kaliteli ve kullanışlı bir ürün. İndirimden aldım memnunum.,
Markalı ürünlere bunca sene boşuna çok fazla para verdiğimizi ispatlayan bir üründür.,
Berberimin tavsiyesi üzerine aldım gayet iyi iş görüyor,
Güzel ürün çok para vermeye gerek yok pahalı olanlar kadar kaliteli,
Fiyat performans ürünü diyebiliriz, daha çok ense için kullanıyorum ama sakal için de birkaç denememde iyi sonuçlar verdi, biraz kolay ısınıyor ve bence çok uzun ömürlü olması beklenmemeli.,
Sıfır uç biraz daha sıfır kesmeli bence ama tarakları olması ve şarjının uzun sürmesi güzel top sakal şekillendirmek için kullandım fiyat performans ürünü.,
Ürün fiyat performans olarak çok iyi hatta bir çok marka makineden çok daha iyi ancak 1-2-3 numaraları var tam set olsaydı eğer harika olurdu sakal ense falan için iş görür harika ürün,
4 aydır kullanıyorum şimdiye kadar aldığım en güzel makine yedeğini bile aldım sakalı sıfıra yakın kesiyor saç için uygun bir makine değil ona göre tercih edin şarjı çok iyi gidiyor bitse bile yarı yolda bırakmıyor şarjdaykende rahatlıkla kullanılabiliyor telefon şarjı ile de şarj etmesi en iyi yönlerinden biri çekme falan da yapmadı ilk başlarda tahriş edebilir yeni olmasından kaynaklı zamanla geçiyor çok memnun kaldım en iyi markalardan bile daha iyi kesinlikle şans verilmeli ??,
Pandemi sürecinde eşimin çok işine yaradı pahalı ürünlerden çok çok daha iyi süper bir makine,
Çok iyi bi makine diğer gereksiz pahalı ürünlere gerek yok, sıfıra yakın kesiyor tavsiye ederim.????,
gayet güzel fiyat performans bence ama 0 kesmiyor bilginiz olsun,
Fiyatına göre çok güzel bir ürün biz berber tavsiyesiyle aldık çok memnun kaldık.,
0 a yakın kesiyo Fiyatına göre güzel tavsiye ederim,
ünlü markalardan daha iyi kullanışlı tavsiye ederim pişman olmazsınız,
Bu fiyata alabileceğiniz bir ürüne göre , inanılmaz kullanışlı ve kaliteli.,
Sakal için aldım çok iyi, berberde gördüm bu markayı çok iyi,
ürün iyi görünüyor kullanınca anliycaz performans i,
daha önceden bildiğim bir üründü uygun fiyat gayet kullanışlı tavsiye ederim,
gayet güzel fiyat performans bence ama 0 kesmiyor bilginiz olsun,
ürün iyi görünüyor kullanınca anliycaz performans i,
fiyatina göre cok iyi ben sakal icin aldim sorunsuz kullaniyorum ama ömrü ne kadar olur bilemem,
Mükemmel uzun ömürlü dayanıklı hiç düşünmeye gerek yok ??,
Fiyatına göre çok güzel bir ürün biz berber tavsiyesiyle aldık çok memnun kaldık.,
0 a yakın kesiyo Fiyatına göre güzel tavsiye ederim,
Tavsiye ile babama aldım çok memnun. Kaliteli, fiyat uygun e daha ne istersiniz bende tavsiye ederim.,
Fiyat ve performans olarak çok güzel alacak olanlara tavsiye ederim,
fiyatı uygun göründüğü gibi. boyutu küçük kaliteli.,
Süper bir ürün fiyatı ile diğer piyasadaki çok bilinmiş markalara taş çıkartır,
Ürün çok kaliteli. Ense , favori düzeltme ve sakal için kesinlikle alınabilir.,
gayet güzel ürün aşırı pahalı ürünleri almaya gerek yok,
Henüz kullanmadım ama Parasına göre çok iyi gözüküyor,
Ürün şahane bayıldım, bu fiyata bu günlerde bulunmaz nimet doğrusu.,
Berberin kullandığı üründü. Çok memnun kaldık. Fiyat olarak En uygun burada.,
Eşim için aldım çok kullanışlı bir ürün,
Ürünün hem fiyati iyi, hemde görüldüğü gibi kaliteli.,
Fiyatına göre pahalı olanlardan çok daha güzel bir ürün boşuna başkasına para dökmeyin,
Fiyat performans olarak çoğu markadan iyi berber arkadaşım tavsiye etmişti memnun kaldım ??,
Yorumları dikkate alarak aldım. İyi ki de almışım. Fiyatına göre HARİKA!,
ürün fiyatına göre çok iyi performanslı. 1,2 ve 3 numara başlıkları ve temizleme fırçası kutu içeriğinde mevcut. gönül rahatlığıyla alabilirsiniz,
ürün çok güzel ama saç kesimi için uygun değil ve sakalını kısa kesmek istiyen insanlar için daha uygun diye düşünüyorum , pil ömrü çok iyi ve küçük bir makine,
Çok araştırdım bi sürü ürünün yorumlarına baktım kötü yorumu olmayan tek bu markaydı babama aldık cok memnun,
Ürün gerçekten muhteşem. Sadece sakal için almanızı tavsiye ederim. Sac için 3 numara üzeri aparatı olmadığı için kullanımı zor.,
Babalar günü hediyesi olarak aldım. Babamın berberi kullanıyormuş aynısını. Gayet kullanışlı olduğunu söylüyor.,
hafif çalışmasi, sarjinin uzun süre gitmesi, bicaklarin kalitesi her şeyiyle bu fiyata alinabilecek en iyi ürün. ben sacimi kesmek icin kullanıyorum babam sakal için. cok sahane bir urun. kutudan başlıklar da çıkıyor. ayrıca telefon sarji ile sarj etmek için ikinci bir girişi mevcut. kacirmayin,
Pahalı markalalı ürünlerle aynı işi görüyor fiyatına göre gayet kaliteli,
şimdilik güzel görünüyor sadece tarakların 3 ü de aynı gibi çok fark göremedim.,
Tam bir fiyat performans ürünü. Tarak çeşidi de fazla olsa süper olur.,
ürün çok kaliteli bişey kesimi motoru on numara kuvvetli,
Fiyatına göre sunduğu özellikler güzel, alınabilir bir cihaz,
ürün hem fiyatı uygun hemde kaliteli bı ürün 10 günlük sakalı bile rahatlıkla 0dan daha ince kesti,
fiyatına göre çok iyi Kuzey Pazarlama'ya teşekkür ederim,
basarılı bir ürün fiyata göre iyi kesiyo fakat biraz sesi fazla,
fiyatina göre gayet güzel bir urun çok kullanışlı.3 adet tarağı var .Çok beğendim.,
fiyatına göre mükemmel bir cihaz hızlı kargo trentyola teşekürler,
saçı sakalı miss gibj alıyor...,
Ürün göründüğü gibi fiyatı da uygundu teşekkürler,
Ürün performansı çok iyi,düşübinmeden alınabilir,
Bu Fiyata çok güzel makina??,
fiyatina göre güzel bir ürün,
fiyata göre iş görür saç kesim konusunda en büyük tarak yani 3 numara çok kısa kesiyor sakal için sıfır kesimi güzel,
Ürün tam beklediğim gibi, motoru güçlü güzel tıraş ediyor. Sakallarımı istediğim uzunlukta kesebiliyorum. Bu fiyata kaliteli ürün, teşekkür ederim.,
Ürün gerçekten çok iyi kesiyor. ancak 1-3mm arasında uzunluk aparatı çıkıyor. 6-10mm de olsaydı süperdi.,
Pandemi döneminde herkesin ihtiyacı olan ilk 3 eşyadan biri oldu ?? çokda iyi iş gördü fiyatına göre iyi,
Yorumlara bakarak aldım şaşırtmadı sıfıra yakın oluyor ve oldukça elde sağlam hissi veriyor kargoya verildikten bir gün sonra elime ulaştı teşekkürler.,
Ürün kısa sürede elime ulastı de ürün kaliteli duruyor tavsiye üzerine aldım hatta almadan önce deneme şansımız da oldu kalitesini görmek için piyasadaki bu emsalde makinaları bilemem ancak sağlam bir ürün inşallah kalitesini de korur teşekkürler,
Cok memnun kaldik fiyat performans acisindan cok basarili bir urun. Hem sac hem sakal trasi icin kullandik ikisinde de is goruyor,
kargo hızlı fiyat güzel. makine sakallar için sıfıra yakın kesim yapıyor. saç için çok da uygun değil çünkü biraz küçük.,
çok kaliteli ve şık bir ürün bende yorumlara bakarak aldım hemen denedim çok güzel kesiyor alın pişman olmazsınız,
kullandık güzel Corona günlerinde evde traş için güzel.Saç için de kullandık şimdilik sıkıntı yok memnunuz,
Ürün hem kaliteli hem güzel bir tasarıma sahip ben çok beğendim sıfıra yakın alıyor açıklamasında da belirttiği gibi kesinlikle tavsiye ederim tek olumsuz yanı kargo şirketinin özensiz taşıması kutu ezilmişti onun dışında bi olumsuzluk yok teşekkür ederim ??,
Verdiği tüm vaatleri yerine getiriyor. Güzel bir makine. Fiyatının düşüklüğü ve markasından dolayı tereddüt de kalmıştım ama kesinlikle öneririm,
eşime hediye aldım işine yaradı çok memnun daha önce aynı markanın fön makinesini almıştık ondanda çok memnun kaldık zaten birçok berberin bildiği ve kullandığı markaymış tavsiye edilir,
ürünün yorumlarını okuyarak aldim. görüntü ve kablolu kablosuz kullanım olarak kullanılabilir. güzel ürün,
"sifira yakin aliyor. ufak ama guclu. goruntusu cok hos. usb ile sarj olmasi guzel detay kendi kablosu kaybolursa telefon sarjimla doldurabilirim ;)",
fiyatına göre güzel ama ben bu fiyattan almadım ben aldıktan sonra yukseltmisler neden anlamadım,
Fiyata göre iyi iş çıkarıyor. Tam sıfır almıyor ama evde kullanmak için iş görür.,
fiyatına göre güzel ama ben bu fiyattan almadım ben aldıktan sonra yukseltmisler neden anlamadım,
Saçı 3 numara tıraş ediyor sakalı da sıfıra yakın fiyatına göre gayet iyi kullanışlı,
babam için aldım. fiyatına göre çok başarılı bir ürün,
fiyatına göre idâre eder,
Alınabilecek bu fiyata en iyi si,
Tam bir fiyat performans ürünü kargo da hızlıydı,
ilk izlenim olarak son derece memnun kaldık,
eşime aldım parasina göre çok iyi diyor,
urun hem ucuz hemde sağlam cikti,
Fiyatına göre başarılı,
çok iyi ama biraz fazla ses çıkarıyor,
ürünü öneririm bu fiyata gayet kaliteli bi ürün,
çok iyi o kadar paranızı pahalı markalara vermeyin,
boyutuna göre mükemmel bir makina..,
fiyatına göre işlevsel,
Fiyatına göre kullanışlı,
İndirimdeyken almıştım performansı güzel ??,
Sakal tıraşı için harika ama saç için uygun değil,
çok iyi urun tercih ederim,
0 kesmiyor ama fiyatına göre çok iyi,
Ürün hem güzel hemde fiyatına göre uygun,
Düşünmeden alın. 3 tane aldım neden bilmiyorum.,
Uygun fiyat güzel cihaz hızlı teslimat,
Çok güzel bir makine ama içinde sadece 1 2 3 numara kesim uçları var sakal ense ve düzeltme için 10 numara.,
arkadaşlar ürün elime ulaştı ve tek kelimeyle mükemmel geldi direk saçımı ve sakalımı kestim bana mısın demedi şarjı fulleyip kesince zaten tam bi canavar tek bi sorunu tarakları çok kısa 1mm 2mm ve 3mm olmak üzere 3 tarağı var ve 3mmlik tarak berberlerdeki 1 numaraya denk geliyor yani en uzunu bile 1 numara ama ben zaten evden çıkmıyorum diye aldım direk 1 e vurdum kafam fırıl fırıl şuan oh tavsiye ederim,
Ürün geldiği gibi hem kendim hemde çocuğumun saç kesimini yaptim uzerindeki sarj yetti artti bile.. Kesim isine gelince ki benim saçım sert ve sık, hic takilmadan kesti. Süper bir ürün. Tavsiye ederim.,
Powertec markasını daha önce almıştım fakat o biraz daha büyüktü. Makinayı ilk kullanımımda süper hızla çalışıyor. 20 dakika içersinde tüm saç sakalı aldı. Kesinlikle tıraş makinasında power tec diyorum. Aldığınız para helal olsun.,
Daha önce 2 adet farklı marka traş makinası aldım, en çok hoşuma giden bu oldu. Kullanışlı pratik bir makina tavsiye edebilirim.,
Harika bir ürün şiddetle tavsiye ederim pahalı makinelerden bir farkı yok kuaförümün tavsiyesi ile aldım,
bugün geldi ürün paketleme ve kutu içi tertemiz resmen makinanın kokusunu aldim herkeze tavsiye ederim kaliteli ürün ben paketleme ve kutu açılımına hayran kaldınn çok titiz ve ozenilerek paketlenmiş,
Kuaförümün kullandığı ve bilerek aldığım bir ürün sakal inceltme ve kesmek için aldım saç kesmeye dair bir beklentim yoktu zaten.Sıfıra yakın alıyor ve keserken herhangi bir çekme ya da takılma asla yapmıyor gayet profesyonele yakın bir ürün beklentiler doğrultusunda tavsiye ederim.,
Ürün harika saç için yazanlar olmuş ama açıklama da sakal için yazıyor zaten düşünmeden alın çok başarılı,
Ürünü yorumlara bakarak adım. Eşim çok memnun kaldı. Ürün aynen anlatıldığı gibi. Herkese tavsiye ederim.,
içinden 1.2.3 tarak çıkıyor abi 1 numara ne ya 2 numara ne içinde olması gereken 3 4 5 bunun için 1 puan vericektim ama dua edin mal kaliteli :) gerçekten parasının hakkını veren bı makine çok beğendim 3 numarayla idare edicez artık ..,
Ürün elime ulaştı. Şarj aparatı biraz kalitesiz bir şeye benziyor ama doğrudan kablo ile aparatı kullanmadan da şarj edilebiliyor.Ayrıca telefon şarj aleti ile de şarj ediliyor. Tarak sayısı az ve en uzun tarak bile normal makinaların 1 numarası gibi kesiyor.Herhalde tek dezavantajı bu. Kısa sakal kesimleri için ideal bir makine. Satıcı firmaya ve Trendyol'a teşekkür ederim.,
ürün çok güzel sıfır denilecek şekilde aliyo almak isteyene tavsiye ederim gönül rahatlığıyla alabilirsiniz,
gür ve kalın sakallı değilseniz kesinlikle günlük olarak kullanışlı. Tarakları sıradan, saç kesiminde de başarılı. Ufak boyutuyla yer kaplamıyor, tavsiye ederim.,
(Satıcı: Kuzey Pazarlama) 4 adet satın aldım, satıcı özensiz paketlemesine rağmen sorunsuz elime ulaştı... Ürün gerçekten fazlasıyla iş görüyor.,
esim için almıştım çok memnun kaldı ve çok beğendi fiyatida gayet uygun paketleme ve gonderimde bir sorun yaşamadık,
Ürün geldiği gibi hem kendim hemde çocuğumun saç kesimini yaptim uzerindeki sarj yetti artti bile.. Kesim isine gelince ki benim saçım sert ve sık, hic takilmadan kesti. Süper bir ürün. Tavsiye ederim.,
Fiyat performans olarak harika 3 ay oldu alalı halen sarja takmadım halen çalışıyor haftada 1-2 kere kullanmama rağmen,
Harika makine gerçekten. Aynısı kardeşimde vardı ve uzun zamandır kullanıyordum zaten, sonunda kendime de aldım.,
kaliteli ürün Berberler bile Bu markayı kullanıyor çok memnunum Çok teşekkür ederim Kargo zamanında geldi,
İkinci kez alıyorum çok kaliteli ve güzel bir ürün üstelik Türk markası olması beni mutlu ediyor. Bu arada fakir gibi farklı markalar deneme imkanım oldu kesinlikle Powertech bir numara diyebilirim,
